學校代碼,學校名稱,縣市別,中文圖書收藏冊數(冊)-總類,中文圖書收藏冊數(冊)-哲學類,中文圖書收藏冊數(冊)-宗教類,中文圖書收藏冊數(冊)-科學類,中文圖書收藏冊數(冊)-應用科學類,中文圖書收藏冊數(冊)-社會科學類,中文圖書收藏冊數(冊)-史地類,中文圖書收藏冊數(冊)-語言文學類,中文圖書收藏冊數(冊)-藝術類,外文圖書收藏冊數(冊),期刊合訂本(未以圖書編目)(冊),線上資料庫(種),光碟及其他類型資料庫(種),電子期刊(種),電子書(種),視聽資料(件),圖書閱覽座位數(個),全年圖書(含視聽資料及其他館藏)借閱人次(人次),全年圖書(含視聽資料及其他館藏)借閱冊次(冊次),全年線上及光碟資料庫(含電子書及電子期刊)檢索(人次),報紙(種),中.日文期刊(種),西文期刊(種)
0018,國立嘉義大學,20 嘉義市,41326,25313,10654,53385,87422,143156,55242,101289,33749,151482,55863,292,1,55286,804326,27219,1290,21405,64486,309469,6,781,87
0019,國立高雄大學,50 高雄市,15338,18700,7173,17657,46381,60207,24466,64046,24007,58524,35395,104,19,14913,467569,18640,1038,15517,41359,380409,8,469,89
0020,國立東華大學,15 花蓮縣,77298,55418,26013,56196,101130,217981,116599,196346,71885,218284,86985,307,33,98005,1157790,98246,1053,32570,243789,713250,10,3201,2626
0021,國立暨南國際大學,08 南投縣,40660,22447,12154,11209,25275,80370,69284,80395,16316,135505,74855,307,1,75337,175071,26070,1406,26460,73559,252551,0,239,45
0022,國立臺灣科技大學,30 臺北市,58866,18901,4391,23388,50717,36225,24025,52145,16268,95723,64807,252,3,68946,840604,24035,639,58284,104912,2547409,8,431,2356
0023,國立雲林科技大學,09 雲林縣,43211,19481,9666,25114,64161,60115,33466,61609,34633,95024,52497,111,0,44604,662478,14935,1435,41302,78550,1487657,9,1974,1210
0024,國立屏東科技大學,13 屏東縣,13075,14273,8469,33475,94279,54639,25029,38381,20241,55061,70297,133,0,48786,1146179,10361,845,20630,46809,1275014,4,86,17
0025,國立臺北科技大學,30 臺北市,50234,14666,4209,40147,77833,39049,22170,38111,20305,95280,8543,254,0,48798,913109,7609,990,24807,54742,2578512,8,218,67
0028,國立臺北藝術大學,30 臺北市,16780,5797,5012,3820,3634,15797,25437,48260,51100,69841,39220,158,0,14748,84713,35618,238,8620,24074,22720,3,151,104
0029,國立臺灣藝術大學,01 新北市,30773,7683,3430,3914,14885,20232,21246,29644,75174,54410,11194,120,0,25086,74198,27276,500,14615,36734,487441,13,392,83
0030,國立臺東大學,14 臺東縣,37839,17196,5951,24077,26924,96191,35482,110751,29042,43508,39150,185,16,31384,244446,13132,591,14260,48949,61289,11,509,15
0031,國立宜蘭大學,02 宜蘭縣,20881,9816,6009,24510,68179,41361,23179,39184,15401,63774,0,109,4,18853,580336,14558,855,9850,24457,187221,12,719,103
